CIP;NOM;P VENTE;P ACHAT;REMISE;TVA;FAMILLE;EMPLACEMT;STOCK;SEUIL;QTE REAPPRO
182468;APOTEL PLUS 600/20 INJ B/3              ;4850;3192;0;0;0;7;0;0;0
182482;APOTEL 1G/6.7 SOL PERF                  ;5735;3774;0;0;0;7;0;0;0
190189;BUTAMYL 2MG/5ML ENF SUSP BUV F/100ML;1380;912;0;0;0;31;2;0;0
194232;LINEX ENF PDRE SUSP SACH/10;4300;2680;0;0;0;42;0;0;0
195073;CHELIDONIUM MAJUS GR 5CH                ;1250;828;0;0;0;64;0;0;0
203149;SISUL-C CR T/15G;1335;864;0;0;0;35;0;0;0
205211;9-VIT SOL INJ AMP 10ML B/1          ;1790;1186;0;1;0;7;1;0;0
205633;AVENE CICALFATE SPRAY ASSECH F/100ML;8240;5522;0;1;0;19;3;0;0
206821;DUCRAY KERACNYL MAT ANTI-BRILLANCE T/30ML;9495;6245;0;1;0;19;1;0;0
207598;LINDA SOL GYN F/250ML                   ;4500;2971;0;0;0;43;0;0;0
210105;CHINA RUBRA GRAN 9CH*B*                 ;1195;791;0;0;0;64;0;0;0
222935;MONTEC 5MG CPR BT14;4440;2919;0;0;0;32;1;0;0
224670;SETRONAX AMP INJ 8MG/4ML B5;20695;13686;0;0;0;7;0;0;0
228173;PANOPRIST PLUS 2/0.625MG CP B/30;6120;4032;0;0;0;32;0;0;0
228210;PANOPRIST 4MG CP B/30;7400;4880;0;0;0;32;0;0;0
228258;PANOPRIST 8MG CP B/30;11435;7552;0;0;0;32;0;0;0
235105;CONIUM MACULATUM GRAN 9CH               ;1250;828;0;0;0;64;0;0;0
244463;IPROFENE SUSP BUV PHAR FL/100ML;1835;1195;0;0;0;26;1;0;0
244661;LUVCEF 200MG CP B/10                    ;8955;5929;0;0;0;27;0;0;0
255102;CUPRUM METALLICUM GRAN 9CH B            ;1195;791;0;0;0;64;0;0;0
276073;DULCAMARA GRAN 5CH                      ;1250;828;0;0;0;64;0;0;0
276104;DULCAMARA GRAN 9CH *B*                  ;1195;828;0;0;0;64;0;0;0
333109;GELSEMIUM SEMPERVIR GRAN 9CH            ;1195;692;0;0;0;64;0;0;0
343852;GENART 80 INJ B/6;4725;3129;0;0;0;7;0;0;0
343869;GENART 40 MG INJ B/6;3390;2226;0;0;0;7;0;0;0
348105;GRAPHITES GRAN 9CH                      ;1250;828;0;0;0;64;0;0;0
348128;GRAPHITES GRAN 15CH                     ;1250;828;0;0;0;64;0;0;0
348134;GRAPHITES GRAN 30CH                     ;1250;828;0;0;0;64;0;0;0
363122;HEPAR SULFURIS CALCA GRAN 15CH          ;1250;828;0;0;0;64;0;0;0
363139;HEPAR SULFURIS CALCA GRAN 30CH          ;1195;791;0;0;0;64;0;0;0
369814;MET XL CPR LP 100MG BT30;6230;3258;0;0;0;32;1;1;2
372078;HYDRASTIS CANADENSIS GR 5CH             ;1250;828;0;0;0;64;0;2;3
372109;HYDRASTIS CANADENSIS GR 9CH             ;1195;791;0;0;0;64;0;5;8
376136;HYPERICUM PERFORATUM GRAN 30CH          ;1250;828;0;0;0;64;0;0;0
379379;GANT EXAM LABELL L MOY DET              ;90;46;0;0;30;59;0;1;1
384101;IGNATIA AMARA GRAN 9CH                  ;1195;791;0;0;0;62;0;3;4
390316;GANT LABELL STER T8                     ;750;480;0;1;0;59;0;0;0
390370;GANT EX UU LATEX GM DET                 ;70;45;0;1;0;59;0;3;4
390371;GANT EX UU LATEX MN DET                 ;70;45;0;0;0;59;0;0;0
390380;GANT EX LATEX GM DET MAXPRO             ;70;44;0;1;0;59;0;0;0
390390;GANT EX LATEX MN DET MAXPRO             ;70;44;0;1;0;59;0;0;0
401101;KALIUM BICHROMICUM GRAN 9CH*B*          ;1195;791;0;0;0;64;0;0;0
403100;KALIUM CARBONICUM GR 9CH                ;1195;828;0;0;0;64;0;0;0
404706;UTERGIN 125 MCG CP B/30;3060;2007;0;0;0;21;2;1;1
414121;LACHESIS MUTUS GRAN 15CH*B*             ;1195;791;0;0;0;64;0;0;0
430061;FEZOMIN C GEL B/30                      ;1815;1186;0;0;0;30;1;0;0
445300;FANIGAN FAST GEL;1100;730;0;0;0;6;2;2;2
445555;GANT CHIRUR STERIL MEDIGANT DETAIL;400;270;0;1;0;58;0;0;0
449071;LYCOPODIUM CLAVATUM GRAN 5CH            ;1250;828;0;0;0;64;0;2;2
500100;CERELAC AU RIZ B/250G                   ;3035;2557;0;1;0;3;0;0;0
500101;APTAMIL HA 1 B/400G                     ;4675;3630;0;1;0;50;0;0;0
527109;NUX VOMICA GRAN 9CH*B*                  ;1195;791;0;0;0;64;0;1;2
540904;NIVEA DEO ROLL 50ML DRY FRESH;1500;938;0;1;0;19;0;0;0
548493;CEFIZ 200MG CP B/10;5510;3648;0;0;0;28;1;2;2
552045;MALAX COMP                              ;1350;650;0;0;0;27;0;1;2
568330;FLUDIMAX 5% SP FL/100ML;905;599;0;0;0;31;2;2;2
569102;PHOSPHORUS GRAN 9CH                     ;1250;692;0;0;0;64;0;1;1
569125;PHOSPHORUS GRAN.15CH                    ;1250;828;0;0;0;64;0;0;0
569208;PHOSPHORUS DOSE 15CH                    ;1045;692;0;0;0;62;0;1;2
576791;VOLTARENE 12,5MG SUPPO B/10;2230;1477;0;0;0;10;1;0;0
601112;VOLINI GEL TB 5GR;510;338;0;0;0;6;0;1;1
604256;PARASIDOSE PEIGNE A POUX;3512;1756;0;1;0;14;2;0;0
606122;PULSATILLA GRAN 15CH                    ;1195;791;0;0;0;64;0;0;0
615584;MIXA EPS LAIT ANTI DESS 250ML;2790;2056;0;1;0;19;0;0;0
631120;RHUS TOXICODENDRON GR.15CH B            ;1195;790;0;0;0;64;0;0;0
631203;RHUS TOXICODENDRON DOSE 15CH            ;995;660;0;0;0;64;0;0;0
664780;TRIAF-S 1G/500MG IM/IV PDR F1;2620;1732;0;0;0;7;0;0;0
684122;SILICIA GRAN 15CH                       ;1250;828;0;0;0;64;0;0;0
688168;OMEPRAZOLE VIR 40MG B/14 GEL;5150;3412;0;0;0;32;1;0;0
696040;RUBIRED 100/1,5/7,5MG CP B/10;1930;1277;0;0;0;21;0;0;0
698303;MEDOMOX 250 DT CP DISP B612;1505;976;0;0;0;32;2;0;0
703078;STICTA PULMONARIA GRAN 5CH*B*           ;1195;791;0;0;0;64;0;2;3
707920;RAPIDEX 0,10% AD SPRAY NAS F/10ML;1175;778;0;0;0;24;5;1;2
707937;RAPIDEX 0,05% SPR NAS ENF 10 ML;1170;775;0;0;0;24;3;1;1
711831;FIL NYLON 3/0 CH;6300;4200;0;0;0;18;1;0;0
713102;SULFUR IODATUM GRAN 9CH *B*             ;1195;791;0;0;0;64;0;0;0
718407;ALFA GH SR10MG CPR/30;15150;10034;0;0;0;28;0;0;0
722514;CHEVILLERE LAXITERAL T/2                ;23500;20265;0;0;0;59;0;0;0
810309;CLOBEX 0.05 CR 30G;1655;1095;0;0;0;6;2;1;2
824821;SERINGUE ORDINAIRE 10CC/ML B/100 (DETAIL)                         ;150;68;0;0;34;33;81;1;1
824822;SERINGUE ORDINAIRE 20CC/ML B/50 (DETAIL)                         ;210;137;0;1;1;33;0;0;0
834035;RHINICOLD 500/10/2/30 CP B/100;7950;5245;0;0;0;33;0;0;0
841588;RABETAR 20MG B/10;3495;2280;0;0;0;74;0;0;0
845948;SONDE FOLEY FEM CH18                    ;3220;1991;0;1;0;58;0;0;0
845990;INHALATEUR PLASTIQUE                    ;4405;2679;0;0;0;59;0;0;0
902236;MAKARI CREME TONIFIANTE EXTREME T/50G ;15000;10520;0;1;0;19;1;0;0
902239;MAKARI FOND DE TEIT LIQUIDE;8600;5230;0;0;0;19;2;0;0
902242;EAU DE TOILETTE TIARE;6200;4520;0;0;0;19;0;0;0
902243;EAU DE TOILETTE VAN ILLE ;6200;4520;0;0;0;19;1;0;0
902265;MAKARI GEL TONIFIANT EXCLUSIF T/30G;12500;9520;0;1;0;19;1;0;0
902266;MAKARI GEL TONIFIANT EXTREME T/30G;15500;12560;0;1;0;19;1;0;0
916101;PYROGENIUM GRAN 9CH                     ;1195;828;0;0;0;64;0;0;0
965221;KLORANE GEL DOUCHE SURGRAS /200ML;3125;1500;0;0;0;19;0;0;0
970011;LATANOCOM CY F/2.5 ML;12635;8346;0;0;0;9;1;0;0
990000;PRUDENCE PRESERVATIF                    ;95;80;0;0;0;41;0;0;0
1000001;FEMINA NEGRA EDP 100 ML;80000;50000;0;0;0;51;0;0;0
1000002;KARO KAROUNDE EDP 100ML;80000;60000;0;0;0;51;0;0;0
1000004;GRIGIO NERO EDP 100 ML;80000;50000;0;0;0;51;0;0;0
1000005;OLFACTO ADDICTO EDP 100ML;80000;50000;0;0;0;51;0;0;0
1000006;L'ANARCHISTE  DE CARON EDT 100ML;50000;28000;0;0;0;51;0;0;0
1000007;CIEN SPORT 200ML DEOD;3500;3000;0;0;0;52;0;0;0
1000008;CIEN AQUA 200ML DEOD;3500;3000;0;0;0;52;0;1;1
1000009;CIEN MUSK 200ML DEOD;3500;3000;0;0;0;52;0;0;0
1000010;CIEN HYDRO FRAICHE 200ML DEOD FEMMZE 200ML;3500;3000;0;0;0;52;0;0;0
1000011;CIEN SENTIVE 24H 200ML FEMME DEOD;3500;3000;0;0;0;52;0;3;4
1000014;CIEN EXTRA DRY 48H FEMME 200ML;3500;3000;0;0;0;52;0;0;0
1000202;JENNIFER LOPEZ LIVE EDP 100ML FEMME     ;45000;39000;0;0;0;53;0;0;0
1000216;MAUBOUSSIN EDP 100ML                    ;45000;30000;0;0;0;53;0;0;0
1000222;LUI ROCHAS COFFRET 100ML EDT            ;45000;36000;0;0;0;53;0;0;0
1000225;BODY KOUROS YSL 100ML EDT               ;47000;30000;0;0;0;53;0;0;0
1000230;MAUBOUSSIN GENERATION M 100ML           ;47000;30000;0;0;0;53;0;0;0
1000232;RYKIEL ROSE FEM 100ML                   ;47000;30000;0;0;0;53;0;0;0
1000233;HANAE MORI MAGICAL MOON FEM 100ML       ;47000;30000;0;0;0;53;0;0;0
1000234;CABOCHARD AMBRE FEM 100ML               ;45000;30000;0;0;0;53;0;0;0
1000235;CERUTI IMAGE FEM 75ML                   ;42000;30000;0;0;0;53;0;0;0
1000236;LANVIN OXYGIENE FEM 75ML                ;45000;30000;0;0;0;53;0;0;0
1000238;CACHAREL LIBERTE FEM 75ML               ;42000;30000;0;0;0;53;0;2;3
1000239;CALVIN K SECRET OBSESSION 100ML F       ;48000;29661;0;1;0;53;0;0;0
1000240;CERUTI IMAGE H 100ML                    ;45000;30000;0;0;0;53;0;0;0
1000241;MAUBOUSSIN M MOI EDP 100ML              ;47000;30000;0;0;0;53;0;0;0
1000242;CERRUTI1881 BLACK EDT VAPO 100ML H      ;45000;28000;0;0;0;53;0;2;3
1000243;UNGARO  90ML EDP                        ;38000;30000;0;0;0;53;0;0;0
1000244;AZZARO LEGEND EDT 75ML                  ;38000;30000;0;0;0;53;0;3;4
1000245;VERSACE LHOMME 100ML                    ;40000;30000;0;0;0;53;0;2;3
1000246;GREY FLANNEL EDT 240ML  HOMME                ;70000;40000;0;0;0;52;0;0;0
1000247;COURREGES BLANC EDP 90 ML               ;47000;34500;0;0;0;53;0;0;0
1000248;COURREGES ROSE 90ML EDP                 ;47000;35000;0;0;0;53;0;0;0
1000249;PACO RABA EDT 50 BLACK XS               ;38000;33000;0;0;0;53;0;4;6
1000250;LANVIN AVANT GARDE 100ML EDT H          ;47000;35000;0;0;0;53;0;0;0
1000251;EAU DE CARTIER EDT H 100ML              ;45000;36000;0;0;0;53;0;0;0
1000252;AZZARO NIGHT TIME H EDT 100ML           ;47000;35000;0;0;0;55;0;0;0
1000253;AZZARO EDT 100ML DECIBEL                ;45000;35000;0;0;0;55;0;0;0
1000254;FRANCESCO.SMALTO EDT H 100ML            ;47000;36000;0;0;0;53;0;0;0
1000255;GUESS I'M YOURS EDT F 75ML              ;40000;32000;0;0;0;55;0;0;0
1000256;YSL BABY DOLL EDT F 100ML               ;44000;36000;0;0;0;55;0;0;0
1000257;THIERRY MUGLER EDP WOMANITY 50ML        ;38000;30000;0;0;0;55;0;0;0
1000258;LANVIN MARRY ME F                       ;45000;35000;0;0;0;55;0;2;2
1000259;VAN CLEEF UN AIR DE FIRST EDP 100 ML    ;50000;35000;0;0;0;55;0;0;0
1000260;VAN CLEEF ORIENS  50ML F                ;45000;35000;0;0;0;53;0;0;0
1000261;CALVIN K ETERNITY MOMENT100MLEDP        ;50000;35000;0;0;0;51;0;1;2
1000262;MONT BLANC PRESENCE D'UNE F EDT 75ML    ;47000;35000;0;0;0;53;0;0;0
1000263;MONT BLANC FEMME INDIVIDUELLE EDT 50ML  ;45000;35000;0;0;0;55;0;0;0
1000264;BOUCHERON EDP 50 ML                     ;45000;35000;0;0;0;55;0;0;0
1000266;ANTITABB EDT MEN 100ML                  ;3900;2543;0;1;0;53;0;0;0
1000267;LUNE D'ETE EDT 100ML                    ;4550;2967;0;1;0;53;0;0;0
1000268;ARGILUX LT PUR 265ML                    ;585;382;0;1;0;54;0;0;0
1000269;ARGILUX PDRE MASQ. 125G                 ;455;297;0;1;0;54;0;1;1
1000279;HERMES TERRE D'HERMES 50 ML EDT         ;50000;40606;0;0;0;55;0;0;0
1000280;DIOR FAIR&NIGHT75ML H EDP               ;75000;61598;0;0;0;55;0;0;0
1000281;DIOR EAU SAUVAGE 100ML H EDP            ;75000;62254;0;0;0;55;0;0;0
1000282;GRES FLANEL 120ML                       ;65000;49134;0;0;0;55;0;0;0
1000290;AZZARO CHROME LEGENDE EDT 125ML;55000;35000;0;0;0;54;0;0;0
1001050;NIVEA DEO SPRAY DRY MEN 200ML/81605;2850;2012;0;1;0;19;1;0;0
1001088;TEKY'S COSMETIQUE LOTION F/90ML;2000;1500;0;0;0;19;8;0;0
1001094;TEKY'S COSMETIQUE SAVON PEAU ABIMEE 150G;1500;1000;0;0;0;19;12;0;0
1001154;LUMINANCE HUILE EXTRA FORT;4200;3000;0;0;0;19;2;0;0
1001177;HUILE MAXITONE 125ML;8500;6500;0;0;0;19;2;0;0
1001183;NATURE SKIN ANTISEPTIQUE LOTION;3500;2500;0;0;0;19;2;1;2
1001272;NATURE SKIN LAIT ACTION PLUS;7500;5500;0;0;0;19;1;0;0
1001797;BIODERMA LAI CLART 200ML                ;5040;3511;0;0;0;51;0;0;0
1002099;PREGABALINE MYLAN 25MG B/56 GELULES;4700;2676;0;0;0;27;0;0;0
1002501;UNOZIT 500MG B/3                        ;4990;3285;0;0;0;21;7;0;0
1002977;DACRYOSERUM DETAIL UNIDOSE              ;1790;100;0;0;4;0;1;0;0
1003704;GANT BEBE ROSE/BLEU/JAUNE;1500;350;0;0;0;14;0;0;0
1003710;KIT MANICURE BEBE;3000;1500;0;0;0;14;1;0;0
1003791;KIT PEIGNE BEBE;3000;1500;0;0;0;14;0;0;0
1004388;VITAMINE LAIT;8000;1500;0;0;0;19;0;0;0
1004441;TRADOLAN 50MG CP PELL B/20;1460;967;0;0;0;21;7;0;0
1004451;TRADOLAN 150 MG LP B/20;3940;2609;0;0;0;21;6;0;0
1005331;OPTICIL                                 ;1770;1185;0;1;0;65;0;0;0
1005371;MELANOV MR 60MG CP B/30;6295;4168;0;0;0;32;2;0;0
1005577;JOSEPHA'S VITAMINE PLUS LAIT;7500;3520;0;0;0;19;0;0;0
1005583;JOSEPHA'S  HUILE;7500;3500;0;0;0;19;-2;0;0
1005598;JOSEPHA'S  LOTION;4500;2500;0;0;0;19;0;0;0
1005660;BARBARA NATURE CREME;9500;4000;0;0;0;19;0;0;0
1005672;BARBARA MAXI PLUS;5500;4500;0;0;0;19;0;0;0
1005689;BARBARA LOTION;4500;2500;0;0;0;19;0;0;0
1005695;JOSEPHA'S TEINT GLORIEUX;5500;3600;0;0;0;19;0;0;0
1005703;BARBARA SAVON;2500;1750;0;0;0;19;0;0;0
1007228;OPALYA SAVON 2 EN 1;4000;3000;0;0;0;19;0;0;0
1007292;SOLID SHAMPO CHEVEUX FATIGUES;6000;3000;0;0;0;19;1;0;0
1007316;MON SAVON HUILE D'ARGAN;2250;1520;0;0;0;19;0;0;0
1007317;MON SAVON HUILE D'AMANDE DOUCE BIO;2250;1250;0;0;0;19;1;1;1
1007323;MON SAVON HUILE D'OLIVE ;2250;1520;0;0;0;19;1;0;0
1008328;HUILE D'AIL;2500;1500;0;0;0;19;0;0;0
1008340;HUILE DE SASAME;2500;1500;0;0;0;19;0;0;0
1008357;HUILE D'ARGAN;3000;1000;0;0;0;19;1;0;0
1008361;HUILE D'AMANDE;2500;1500;0;0;0;19;0;0;0
1008362;HUILE D'AVOCAT;2500;1500;0;0;0;19;0;0;0
1008972;EAU DE COLOGNE AGUA HELLO KITTY;1000;500;0;0;0;19;0;0;0
1009010;DOBUTAMINE MILAN INJ250MG/20ML B/10;17500;9515;0;0;0;7;0;0;0
1009020;EAU DE TOILETTE HELLO KITTY VERT;3000;1520;0;0;0;19;1;1;1
1009032;EAU DE TOILETTE HELLO KITTY ROSE;3000;1520;0;0;0;19;1;1;2
1009090;ELISABETH ARDEN 125 ML EDP FEMME;47000;28000;0;0;0;52;0;0;0
1010020;COFF JACADI EDT GARC 100ML              ;18485;12238;0;1;0;53;0;0;0
1010021;COFF JACADI EDT MLLE 100ML              ;15845;10490;0;1;0;53;0;2;3
1010023;COFF LPP EDT VAN+FRAM+GD VAN            ;8625;5711;0;1;0;53;0;0;0
1010025;COFF LPP EDT VANILLE+GD VAN             ;8625;5711;0;1;0;53;0;0;0
1012873;COTON GAMJEE ROLL PETIT 10CMX2,7MTR;1200;740;0;0;0;15;0;0;0
1012886;COTON GAMJEE ROLL GRAND 15CMX2,7MTR;1800;1150;0;0;0;15;0;0;0
1012910;BANDAGE PLASTER SURECAST;5000;3100;0;0;0;15;0;0;0
1012933;COTON SOFT PAD PETIT 10CMX3MTR;1500;900;0;0;0;15;0;0;0
1012946;COTON SOFT PAD GRAND 15CMX3MTR;2300;1500;0;0;0;15;0;0;0
1012962;COTON CREPE BANDAGE;1200;740;0;0;0;15;0;0;0
1013006;COMPRES GAUZE SWAB B.P 7.5X7.5X8PLYX5NOS;600;380;0;0;0;15;0;0;0
1013358;SOLUVITA GEL MOUSS ANTISEP FL/330ML;2045;1403;0;1;0;36;1;0;0
1013531;HUCOG 5000 UI INJ;8225;5427;0;0;0;7;2;0;0
1013811;RINGER LACTATE 500ML POCHE;880;581;0;0;0;17;0;0;0
1015089;MERCUROCHROME 60ML                      ;840;683;0;0;0;60;0;0;0
1015610;VERSACE PROFUMI DREAMER                 ;45000;32000;0;0;0;53;0;1;1
1016517;THE VENTRE PLAT;11000;5200;0;0;0;41;0;0;0
1016730;NOVER 400MG CP B/1;350;270;0;0;0;4;0;0;0
1017116;GEL DESINFECTANT MAIN SIVODERM 250ML;700;450;0;0;0;41;0;0;0
1017422;WEE BABY BIBERON 240ML;5740;3520;0;0;0;14;0;0;0
1017439;WEE BABY BIBERON 0-6MOIS 125ML;2995;1205;0;0;0;14;0;0;0
1017445;WEE BABY SUCETTE MOY;1260;950;0;0;0;14;0;0;0
1017451;WEE BABY TETINE VERT;1515;952;0;0;0;14;0;0;0
1017480;WEE BABY TETINE COULEUR;1550;950;0;0;0;14;0;0;0
1018605;WEE BABY  SUCETTE ;2100;1200;0;0;0;14;0;0;0
1018628;TIRE LAIT PRATIQUE MANUAL WEE 1X150ML;15930;10000;0;0;0;14;0;0;0
1020001;HANAE MORI HTE COUTURE F EDT 100ML      ;42000;27500;0;0;0;55;0;0;0
1020002;HANAE MORI EDP 100ML H                  ;42000;27500;0;0;0;55;0;0;0
1020003;GENERATION COURREGES F EDT 100ML        ;42000;27500;0;0;0;55;0;0;0
1020004;CABOCHARD EDT F 100ML                   ;43000;27500;0;0;0;55;0;0;0
1020005;RIKIEL WOMAN EDP 125 ML                 ;45000;30000;0;0;0;55;0;0;0
1020006;ENCRE NOIR EDT H 100ML LALIQUE          ;65000;50000;0;0;0;55;0;1;2
1020007;BALDESSINI STRICTLY EDT H 90ML          ;40000;27500;0;0;0;55;0;0;0
1020008;BALDESSINI AMBRE H EDT 90 ML            ;40000;27500;0;0;0;53;0;0;0
1020009;UNGARO POUR L'HOMME III 100ML EDT       ;48000;28000;0;0;0;55;0;3;4
1020010;CERRUTI1881 EDT POUR HOMME 100ML        ;42000;27500;0;0;0;55;0;0;0
1020011;CERRUTI IMAGE EDT 100ML H               ;42000;27500;0;0;0;55;0;0;0
1020012;POUR UN H DE CARON H EDT 125 ML         ;45000;27500;0;0;0;55;0;0;0
1020013;CARBONE DE BALMAIN H EDT 100 ML         ;43000;27500;0;0;0;55;0;0;0
1020014;ONYX AZZARO POUR H 100 ML EDT           ;45000;27500;0;0;0;55;0;1;2
1020015;OXYGENE H LANVIN 100ML EDT              ;42000;27500;0;0;0;55;0;0;0
1020016;PORSHE DESIGN SPORT 80 ML H EDT         ;42000;27500;0;0;0;55;0;0;0
1020017;LANVIN L'HME SPORT EDT 100ML            ;45000;28000;0;0;0;53;0;0;0
1020018;HANAE MORI EDP 100ML H HIM              ;47000;28000;0;0;0;55;0;0;0
1020019;HUGO BOSS NUMBER ONE EDT 125 ML         ;47000;28000;0;0;0;55;0;0;0
1020020;AZZARO LEGEND EDT 100MLH                ;46000;28000;0;0;0;55;0;0;0
1020021;AZZARO L'EAU POUR H EDT 100 ML          ;45000;28000;0;0;0;55;0;0;0
1020022;AZZARO VISIT FOR WOMEN EDT 75ML           ;45000;28000;0;0;0;53;0;0;0
1020023;UNGARO POUR L'HOMME GOLD100ML EDT       ;50000;28000;0;0;0;55;0;1;2
1020024;GUESS BY MARCIANO F EDP 100ML           ;47000;28000;0;0;0;55;0;1;1
1020025;UNGARO APPARITION F EDP 90ML            ;50000;28000;0;0;0;55;0;0;0
1020026;CALVIN K OBSESSION NIGHT EDT H 125 ML   ;46000;29661;0;1;0;53;0;0;0
1020027;MAUBOUSIN POUR LUI EDP 100ML            ;47000;28000;0;0;0;55;0;0;0
1020028;VAN CLEEF EDT TSAR 100ML H              ;45000;28000;0;0;0;55;0;0;0
1020029;VAN CLEEF MIDNIGHT EDT H 75ML           ;47000;35000;0;0;0;55;0;0;0
1020030;BURBERRY EDP 100ML                      ;46000;35000;0;0;0;55;0;0;0
1020040;BURBERRY BODY 60ML TESTEUR EDP FEMME;50000;28000;0;0;0;52;0;0;0
1020041;CERRUTI 1881 HOMME VERT 100ML EDT;50000;28000;0;0;0;52;0;0;0
1020042;CALVIN KLEIN DOWN TOWN EDP 90ML H;50000;28000;0;0;0;52;0;0;0
1020045;SO DUPONT EDT FEMME 100ML;50000;28000;0;0;0;52;0;0;0
1020048;AZZARO POUR L'HOMME EDT 100ML;50000;28000;0;0;0;51;0;0;0
1020051;CALVIN KLEIN ESCAPE EDT 100ML;50000;28000;0;0;0;53;0;0;0
1020080;LALIQUE L'INSOUMIS EDT 100ML;55000;40000;0;0;0;51;0;0;0
1021021;CARDIPER PLUS CP;6230;4105;0;0;0;28;2;0;0
1030021;AZZARO VISIT FOR MEN EDT 100 ML;45000;28000;0;0;0;52;0;1;2
1030022;AZZARO SILVER BLACK HOMME EDT 100ML;47000;28000;0;0;0;52;0;0;0
1030023;AZZARO TWIN WOMEN EDT 50ML;45000;28000;0;0;0;52;0;0;0
1030024;AZZARO DECIBEL HOMME 100ML EDT;45000;28000;0;0;0;52;0;0;0
1030025;CALVIN KLEIN ETERNITY NIGHT EDP 100ML ;55000;28000;0;0;0;52;0;0;0
1030026;CERRUTI 1881 EDT POUR FEMME 100ML;50000;28000;0;0;0;52;0;0;0
1030027;MONT BLANC STARWALKER EDT 75ML;45000;28000;0;0;0;52;0;0;0
1030028;MONT BLANC LEGENDE POUR FEMME EDT 50ML EDITION SPECIALE;45000;28000;0;0;0;52;0;0;0
1030029;LOLITA LIMPICKA ELLE L'AIME EDP 80ML;50000;28000;0;0;0;52;0;0;0
1030030;MAUBOUSSIN PROMISE ME INTENSE 90ML;55000;0;0;0;0;52;0;0;0
1030031;CLAVIN KLEIN ONE EDT 100ML;45000;28000;0;0;0;52;0;0;0
1030032;BURBERRY TOUCH FOR MEN EDT 100ML;48000;28000;0;0;0;52;0;0;0
1030040;THIERRY MUGLER 80ML WOMANITY EDP;65000;45000;0;0;0;52;0;0;0
1030050;CARTIER SANTOS 100ML HOM;52000;40000;0;0;0;51;0;0;0
1030051;CARTIER DECLARATION ESSENCE HOM 100ML;52000;40000;0;0;0;51;0;0;0
1030052;CARTIER DECLARATION D UN SOIR HOM 100ML;52000;40000;0;0;0;51;0;2;2
1030053;CARTIER DECLARATION EDT HOM 100ML;52000;40000;0;0;0;51;0;0;0
1030054;AZZARO POUR HOM RECHARGEABLE EDT 100ML;45000;28000;0;0;0;51;0;0;0
1030055;LANVIN RUMEUR EDP FEM 100ML;45000;28000;0;0;0;51;0;0;0
1030056;GUERLAIN AQUA ALLEGORIA EDP 100ML FEM;50000;35000;0;0;0;51;0;0;0
1030057;LALIQUE AMETHYST EDP 100ML FEM;50000;35000;0;0;0;51;0;1;1
1030058;LALIQUE ENCRE NOIRE EDT 100ML HOM;52000;40000;0;0;0;51;0;0;0
1030059;MAUBOUSSIN MADEMOISELLE TWIST EDP 90ML FEM;45000;28000;0;0;0;51;0;0;0
1030060;GUERLAIN HABIT ROUGE EDT 100ML HOM;52000;40000;0;0;0;51;0;1;1
